AnimalAnonID@RecordingInstitution@MeasurementType@RecordType@MeasurementValue@EstimatedMeasurement@ExcludededFromNorms@MeasurementDate@MeasurementDateEstimateType@MeasurementDateEstimateStart@MeasurementDateEstimateEnd@CollectionScopeType@AnimalAgeMonths@AnimalAgeDays@Age@UnitOfMeasure
396342@129985@Live weight@@0.342@0@NA@2014-10-13@NA@NA@NA@NA@56@1707@4.676712328767123@kg
396342@129985@Live weight@@0.304@0@NA@2014-12-28@NA@NA@NA@NA@58@1783@4.884931506849315@kg
396342@129985@Live weight@@0.363@0@NA@2015-09-21@NA@NA@NA@NA@67@2050@5.616438356164384@kg
404931@8383@Dead weight@@1.856@0@NA@2004-05-05@NA@NA@NA@NA@232@7064@19.353424657534248@kg
407289@138725@Live weight@@1.925@0@NA@2009-07-14@NA@NA@NA@NA@738@22475@61.57534246575342@kg
407289@138725@Live weight@@2.05@0@NA@2009-12-20@NA@NA@NA@NA@743@22634@62.010958904109586@kg
407289@138725@Live weight@@1.825@0@NA@2008-06-12@NA@NA@NA@NA@725@22078@60.487671232876714@kg
407289@138725@Live weight@@1.96@0@NA@2009-05-22@NA@NA@NA@NA@736@22422@61.43013698630137@kg
430412@34263@Live weight@@0.553@0@NA@2015-09-01@NA@NA@NA@NA@55@1678@4.597260273972603@kg
433912@21224@Live weight@@0.9@0@NA@2018-10-08@NA@NA@NA@NA@36@1102@3.0191780821917806@kg
433912@21224@Live weight@@0.936@0@NA@2016-10-07@NA@NA@NA@NA@12@371@1.0164383561643835@kg
433912@21224@Live weight@@0.865@0@NA@2017-04-19@NA@NA@NA@NA@18@565@1.547945205479452@kg
442321@111450@Live weight@@2.206@0@NA@2021-02-25@NA@NA@NA@NA@97@2977@8.156164383561643@kg
452916@48819@Live weight@@0.876@0@NA@2023-09-04@NA@NA@NA@NA@68@2072@5.676712328767123@kg
452916@48819@Live weight@@0.84@0@NA@2022-09-26@NA@NA@NA@NA@56@1729@4.736986301369863@kg
455417@109140@Live weight@@2.583@0@NA@2023-08-21@NA@NA@NA@NA@223@6806@18.646575342465752@kg
455417@109140@Live weight@@1.02@0@NA@2009-01-13@NA@NA@NA@NA@48@1473@4.035616438356165@kg
455417@109140@Live weight@@1.14@0@NA@2011-09-17@NA@NA@NA@NA@80@2450@6.712328767123288@kg
467836@128899@Live weight@@0.09@0@NA@2021-10-14@NA@NA@NA@NA@27@835@2.287671232876712@kg
475586@68537@Live weight@@1.801@0@NA@2014-09-03@NA@NA@NA@NA@254@7754@21.243835616438357@kg
475586@68537@Live weight@@1.808@0@NA@2021-08-06@NA@NA@NA@NA@337@10283@28.172602739726027@kg
475586@68537@Live weight@@1.61@0@NA@2008-09-30@NA@NA@NA@NA@183@5590@15.315068493150685@kg
475586@68537@Live weight@@1.836@0@NA@2020-04-29@NA@NA@NA@NA@322@9819@26.9013698630137@kg
475586@68537@Live weight@@1.881@0@NA@2014-11-12@NA@NA@NA@NA@257@7824@21.435616438356163@kg
475586@68537@Live weight@@1.806@0@NA@2019-02-06@NA@NA@NA@NA@307@9371@25.673972602739727@kg
475586@68537@Live weight@@1.784@0@NA@2020-05-13@NA@NA@NA@NA@323@9833@26.93972602739726@kg
475586@68537@Live weight@@1.671@0@NA@2011-04-13@NA@NA@NA@NA@214@6515@17.84931506849315@kg
475586@68537@Live weight@@2.574@0@NA@2012-02-08@NA@NA@NA@NA@223@6816@18.673972602739727@kg
475586@68537@Live weight@@1.444@0@NA@2007-10-16@NA@NA@NA@NA@172@5240@14.356164383561644@kg
475586@68537@Live weight@@1.545@0@NA@2003-08-05@NA@NA@NA@NA@121@3707@10.156164383561643@kg
475586@68537@Live weight@@1.67@0@NA@2012-10-03@NA@NA@NA@NA@231@7054@19.326027397260273@kg
475586@68537@Live weight@@1.79@0@NA@2015-07-08@NA@NA@NA@NA@264@8062@22.087671232876712@kg
475586@68537@Live weight@@1.823@0@NA@2017-12-20@NA@NA@NA@NA@294@8958@24.542465753424658@kg
475586@68537@Live weight@@1.841@0@NA@2020-05-27@NA@NA@NA@NA@323@9847@26.97808219178082@kg
475586@68537@Live weight@@1.851@0@NA@2019-01-23@NA@NA@NA@NA@307@9357@25.635616438356163@kg
475586@68537@Live weight@@1.709@0@NA@2011-10-05@NA@NA@NA@NA@219@6690@18.328767123287673@kg
475586@68537@Live weight@@1.79@0@NA@2021-06-10@NA@NA@NA@NA@335@10226@28.016438356164382@kg
475586@68537@Live weight@@1.885@0@NA@2015-01-07@NA@NA@NA@NA@258@7880@21.589041095890412@kg
475586@68537@Live weight@@1.887@0@NA@2021-11-10@NA@NA@NA@NA@340@10379@28.435616438356163@kg
475586@68537@Live weight@@1.902@0@NA@2020-08-19@NA@NA@NA@NA@326@9931@27.208219178082192@kg
475586@68537@Live weight@@1.753@0@NA@2015-09-02@NA@NA@NA@NA@266@8118@22.24109589041096@kg
484348@115890@Live weight@@1.62@0@NA@2018-03-09@NA@NA@NA@NA@210@6410@17.561643835616437@kg
484348@115890@Live weight@@0.001575@0@NA@2018-02-21@NA@NA@NA@NA@210@6394@17.517808219178082@kg
484348@115890@Live weight@@1.575@0@NA@2021-05-05@NA@NA@NA@NA@248@7563@20.720547945205478@kg
487165@168670@Live weight@@0.427@0@NA@2020-03-17@NA@NA@NA@NA@10@321@0.8794520547945206@kg
487165@168670@Live weight@@0.41@0@NA@2020-02-04@NA@NA@NA@NA@9@279@0.7643835616438356@kg
487165@168670@Live weight@@0.45@0@NA@2020-09-16@NA@NA@NA@NA@16@504@1.3808219178082193@kg
487165@168670@Live weight@@0.426@0@NA@2021-01-19@NA@NA@NA@NA@20@629@1.7232876712328766@kg
487165@168670@Live weight@@0.436@0@NA@2020-12-23@NA@NA@NA@NA@19@602@1.6493150684931508@kg
