"param";"value";"Species";"Sex";"Class";"models";"Data";"firstage";"stat"
"Epx";"9,43638509192332e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"KM";"birth";"value"
"G";"2,80544831106218e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"KM";"birth";"value"
"Ex";"1,55242626631742e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"KM";"birth";"value"
"CV";"4,91542482138404e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"KM";"birth";"value"
"b_Gomp";"6,90701659401093e+00";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"mean"
"b_Gomp";"3,03496007621834e+00";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"sd"
"b_Gomp";"1,86532697933441e+00";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"lower"
"b_Gomp";"1,32678128658397e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"upper"
"MLE";"1,56526885318456e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"mean"
"MLE";"9,03836966421448e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"sd"
"MLE";"1,39687403544951e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"lower"
"MLE";"1,73834303779685e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"upper"
"H";"4,72772743945932e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"mean"
"H";"4,33537516502470e-02";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"sd"
"H";"3,95261730618908e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"lower"
"H";"5,63605751597738e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"upper"
"Epx";"7,53326594865968e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"mean"
"Epx";"9,15639018049887e-02";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"sd"
"Epx";"5,73400344886437e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"lower"
"Epx";"9,28207136440104e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"upper"
"G";"3,09499652938771e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"mean"
"G";"2,18621727606945e-02";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"sd"
"G";"2,69617759113325e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"lower"
"G";"3,53640856233480e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"upper"
"Hx";"5,34595644619929e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"mean"
"Hx";"3,32473046841165e-02";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"sd"
"Hx";"4,72147540210907e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"lower"
"Hx";"5,97931999315924e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"upper"
"CV";"4,70343272495371e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"mean"
"CV";"3,99383031129163e-02";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"sd"
"CV";"3,95741881387611e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"lower"
"CV";"5,45404906355286e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"upper"
"remex0";"1,55669805780249e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"mean"
"remex0";"1,39475690298133e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"lower"
"remex0";"1,73385943357898e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"upper"
"L50";"1,61184259259259e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"mean"
"L50";"1,39697500000000e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"lower"
"L50";"1,84702500000000e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"upper"
"L90";"2,65473888888889e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"mean"
"L90";"2,37895000000000e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"lower"
"L90";"3,10102500000000e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"upper"
"S1month";"9,88348117948411e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"mean"
"S1month";"9,97326277620978e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"lower"
"S1month";"9,94347794425870e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"upper"
"S1year";"9,48731808222146e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"mean"
"S1year";"9,78948737654594e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"lower"
"S1year";"9,66403656469519e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Model";"birth";"upper"
"Gof_KM_coeff1";"7,89062500000000e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"Gof_KM_coeff2";"1,85428226183218e+00";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"Gof_martingale";NA;"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"LxatMLE";"5,17183547485931e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"LEmaxOage";"2,73570484933874e+00";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"KMMinLx";"5,74492539373262e-02";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"Gof_Martingal_KM";"1,03298335933125e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"Gof_Martingal_test";"0,00000000000000e+00";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
