AnimalAnonID@RecordingInstitution@MeasurementType@RecordType@WeightValueKg@EstimatedMeasurement@ExcludededFromNorms@MeasurementDate@MeasurementDateEstimateType@MeasurementDateEstimateStart@MeasurementDateEstimateEnd@CollectionScopeType@AnimalAgeMonths@AnimalAgeDays
554757@62963@Live weight@@0.607@0@NA@2023-12-14@@@@NA@NA@NA
556308@11523@Live weight@@1.416@0@NA@2008-07-03@@@@NA@148@4508
560457@104105@Live weight@@0.507@0@NA@2023-10-10@@@@NA@NA@NA
578131@33954@Live weight@@0.732@0@NA@2005-03-15@@@@NA@75@2309
578131@33954@Live weight@@0.756@0@NA@2005-03-25@@@@NA@76@2319
578131@33954@Live weight@@0.74@0@NA@2005-02-16@@@@NA@74@2282
578131@33954@Dead weight@@0.751@0@NA@2005-03-27@@@@NA@76@2321
578131@33954@Live weight@@0.751@0@NA@2005-03-27@@@@NA@76@2321
586829@33954@Live weight@@0.761@0@NA@2005-03-15@@@@NA@75@2310
592357@114907@Live weight@@0.31@0@NA@2000-06-09@@@@NA@25@787
604038@122408@Live weight@@0.49@0@NA@1995-04-07@@@@NA@80@2453
620647@19749@Live weight@@0.023@0@NA@2020-02-24@@@@NA@7@216
621087@23814@Live weight@@1.35@0@NA@1997-06-13@@@@NA@84@2579
621087@23814@Live weight@@1.258@0@NA@1995-11-09@@@@NA@65@1997
621087@23814@Live weight@@1.201@0@NA@1992-06-10@@@@NA@24@750
621087@23814@Live weight@@1.205@0@NA@1994-03-23@@@@NA@46@1401
621087@23814@Live weight@@1.249@0@NA@1991-06-11@@@@NA@12@385
621087@23814@Live weight@@1.232@0@NA@1990-08-16@@@@NA@2@86
621087@23814@Live weight@@1.3@0@NA@1991-10-31@@@@NA@17@527
633420@168670@Live weight@@0.401@0@NA@2020-05-12@@@@NA@12@377
633420@168670@Live weight@@0.376@0@NA@2019-12-12@@@@NA@7@225
634636@138417@Live weight@@0.0453@0@NA@2019-11-14@@@@NA@15@481
634636@138417@Live weight@@0.03@0@NA@2019-02-13@@@@NA@6@207
634636@138417@Live weight@@0.033@0@NA@2019-03-21@@@@NA@8@243
663951@78043@Live weight@@0.76@0@NA@2023-06-16@@@@NA@221@6740
693974@122408@Live weight@@1@0@NA@1987-06-25@@@@NA@9@278
714346@15939@Live weight@@0.14@0@NA@2016-04-30@@@@NA@19@607
719604@15939@Live weight@@0.94@0@NA@2020-12-02@@@@NA@35@1066
